Provider_ID,Members,BP_Control_Rate,A1c_Control_Rate,LDL_Control_Rate,BCS_Closure,COL_Closure,KED_Closure,SPC_Closure,CBP_Closure,ER_Visits_per_1000,Admit_Rate_per_1000,Readmission_Rate,Avg_PMPM,Avg_HCC_Count,AWV_Rate,Recapture_Rate,Depression_Screening_Rate,FUH_Rate,Avg_SDOH_Burden,Chronic_Score,Preventive_Score,Care_Coordination_Score,Behavioral_Score,Equity_Adjusted,Composite_VBC_Score,Provider_Tier
P0001,61,0.8524590163934426,1.0,0.4098360655737705,,,,,,0.0,0.0,0.0,705.528379512475,2.4754098360655736,1.0,1.0,1.0,1.0,0.4371584699453552,0.7540983606557378,,1.0,1.0,0.7103825136612022,,Gold
P0002,63,0.9047619047619048,1.0,0.5555555555555556,,,,,,0.0,0.0,0.0,706.8673033486474,2.5555555555555554,1.0,1.0,1.0,1.0,0.5291005291005291,0.8201058201058201,,1.0,1.0,0.7671957671957672,,Gold
P0003,58,0.8448275862068966,0.9827586206896551,0.5689655172413793,,,,,,0.0,0.0,0.0,704.4152722789576,2.413793103448276,1.0,1.0,1.0,1.0,0.4597701149425287,0.7988505747126436,,1.0,1.0,0.7528735632183907,,Gold
P0004,75,0.92,0.9866666666666667,0.52,,,,,,0.0,0.0,0.0,703.3127576022747,2.56,1.0,1.0,1.0,1.0,0.5155555555555555,0.8088888888888889,,1.0,1.0,0.7573333333333333,,Gold
P0005,59,0.864406779661017,1.0,0.4576271186440678,,,,,,0.0,0.0,0.0,704.999884725172,2.6779661016949152,1.0,1.0,1.0,1.0,0.4971751412429378,0.7740112994350282,,1.0,1.0,0.7242937853107344,,Gold
P0006,63,0.873015873015873,0.9682539682539683,0.5079365079365079,,,,,,0.0,0.0,0.0,699.2752601473884,2.4603174603174605,1.0,1.0,1.0,1.0,0.48677248677248675,0.7830687830687831,,1.0,1.0,0.7343915343915345,,Gold
P0007,65,0.9230769230769231,0.9846153846153847,0.38461538461538464,,,,,,0.0,0.0,0.0,697.011287317963,2.5076923076923077,1.0,1.0,1.0,1.0,0.5794871794871794,0.7641025641025642,,1.0,1.0,0.7061538461538462,,Gold
P0008,69,0.8405797101449275,0.9855072463768116,0.4492753623188406,,,,,,0.0,0.0,0.0,695.8369251403466,2.536231884057971,1.0,1.0,1.0,1.0,0.5265700483091786,0.7584541062801934,,1.0,1.0,0.7057971014492755,,Gold
P0009,64,0.96875,1.0,0.46875,,,,,,0.0,0.0,0.0,677.799497048054,2.625,1.0,1.0,1.0,1.0,0.5,0.8125,,1.0,1.0,0.7625,,Gold
P0010,54,0.8518518518518519,1.0,0.3888888888888889,,,,,,0.0,0.0,0.0,695.4382705420018,2.3333333333333335,1.0,1.0,1.0,1.0,0.4691358024691358,0.7469135802469137,,1.0,1.0,0.7000000000000001,,Gold
P0011,49,0.8571428571428571,1.0,0.4897959183673469,,,,,,0.0,0.0,0.0,700.4542512619432,2.2448979591836733,1.0,1.0,1.0,1.0,0.4965986394557823,0.7823129251700681,,1.0,1.0,0.7326530612244899,,Gold
