Zip Code,State Name,State Abrv,State Code,County Name,County Code,FIPS Code,ANSI Code,Centroid Lat,Centroid Long
501,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
544,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
6390,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11701,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11702,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11703,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11704,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11705,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11706,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11707,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11708,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11713,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11715,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11716,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11717,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11718,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11719,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11720,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11721,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11722,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11724,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11725,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11726,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11727,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11729,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11730,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11731,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11733,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
11738,New York,NY,36,Suffolk County,103,36103,974149,40.943554,-72.692218
