Provider_ID,Members,BP_Control_Rate,A1c_Control_Rate,LDL_Control_Rate,BCS_Closure,COL_Closure,KED_Closure,SPC_Closure,CBP_Closure,ER_Visits_per_1000,Admit_Rate_per_1000,Readmission_Rate,Avg_PMPM,Avg_HCC_Count,AWV_Rate,Recapture_Rate,Depression_Screening_Rate,FUH_Rate,Avg_SDOH_Burden,Chronic_Score,Preventive_Score,Care_Coordination_Score,Behavioral_Score,Equity_Adjusted,Composite_VBC_Score,Provider_Tier,Estimated_Incentive
P0001,58,0.46551724137931033,0.6724137931034483,0.22413793103448276,0.3275862068965517,0.2413793103448276,0.20689655172413793,0.6724137931034483,0.46551724137931033,327.5862068965517,206.89655172413794,0.034482758620689655,811.1546551724139,1.9827586206896552,0.5,0.7241379310344828,0.4827586206896552,0.06896551724137931,0.47126436781609193,0.4540229885057472,0.28448275862068967,0.13793103448275862,0.4827586206896552,0.32212643678160924,0.3315086206896552,Bronze,230.73
P0002,58,0.3448275862068966,0.6724137931034483,0.3103448275862069,0.3275862068965517,0.3275862068965517,0.39655172413793105,0.7068965517241379,0.3448275862068966,189.65517241379308,120.6896551724138,0.017241379310344827,831.5456896551724,2.3448275862068964,0.5,0.7758620689655172,0.3448275862068966,0.05172413793103448,0.47126436781609193,0.44252873563218387,0.3275862068965517,0.22413793103448276,0.3448275862068966,0.3379310344827586,0.3446551724137931,Bronze,239.88
P0003,72,0.3888888888888889,0.625,0.3055555555555556,0.3472222222222222,0.3611111111111111,0.3472222222222222,0.75,0.4027777777777778,319.4444444444444,69.44444444444444,0.013888888888888888,807.2204166666667,2.5555555555555554,0.5277777777777778,0.6805555555555556,0.4444444444444444,0.041666666666666664,0.449074074074074,0.4398148148148148,0.35416666666666663,0.19444444444444445,0.4444444444444444,0.3520833333333333,0.35663194444444446,Bronze,308.13
P0004,50,0.42,0.7,0.28,0.34,0.3,0.24,0.64,0.42,300.0,120.0,0.02,793.9842,3.0,0.54,0.6,0.44,0.06,0.48,0.4666666666666666,0.32,0.15,0.44,0.3453333333333333,0.3458,Bronze,207.48
P0005,67,0.4626865671641791,0.6417910447761194,0.29850746268656714,0.417910447761194,0.22388059701492538,0.23880597014925373,0.7164179104477612,0.4626865671641791,208.955223880597,119.40298507462687,0.0,801.9919402985074,2.537313432835821,0.5223880597014925,0.7611940298507462,0.6119402985074627,0.07462686567164178,0.5223880597014925,0.4676616915422886,0.3208955223880597,0.15671641791044777,0.6119402985074627,0.3420398009950249,0.36436567164179107,Bronze,292.95
P0006,57,0.5087719298245614,0.631578947368421,0.2631578947368421,0.2982456140350877,0.3508771929824561,0.2807017543859649,0.6666666666666666,0.5087719298245614,228.07017543859646,105.26315789473684,0.0,822.2447368421052,2.3508771929824563,0.49122807017543857,0.6491228070175439,0.5087719298245614,0.07017543859649122,0.5555555555555555,0.4678362573099415,0.32456140350877194,0.17543859649122806,0.5087719298245614,0.3406432748538012,0.35855263157894735,Bronze,245.25
P0007,59,0.4576271186440678,0.6949152542372882,0.13559322033898305,0.288135593220339,0.5254237288135594,0.23728813559322035,0.559322033898305,0.4745762711864407,355.9322033898305,118.64406779661017,0.01694915254237288,808.9716949152543,2.440677966101695,0.4915254237288136,0.7627118644067796,0.4915254237288136,0.03389830508474576,0.4576271186440678,0.42937853107344637,0.4067796610169492,0.13559322033898305,0.4915254237288136,0.372316384180791,0.36262711864406777,Bronze,256.74
P0008,58,0.43103448275862066,0.7241379310344828,0.2413793103448276,0.29310344827586204,0.27586206896551724,0.25862068965517243,0.7068965517241379,0.4482758620689655,275.8620689655172,120.6896551724138,0.034482758620689655,808.8744827586207,2.8620689655172415,0.46551724137931033,0.7931034482758621,0.41379310344827586,0.05172413793103448,0.528735632183908,0.46551724137931033,0.2844827586206896,0.15517241379310345,0.41379310344827586,0.3221264367816092,0.33150862068965514,Bronze,230.73
P0009,62,0.46774193548387094,0.6290322580645161,0.20967741935483872,0.3387096774193548,0.3225806451612903,0.27419354838709675,0.7258064516129032,0.46774193548387094,419.35483870967744,48.387096774193544,0.03225806451612903,804.8327419354838,2.5806451612903225,0.45161290322580644,0.6129032258064516,0.5645161290322581,0.016129032258064516,0.4462365591397849,0.43548387096774194,0.33064516129032256,0.14516129032258063,0.5645161290322581,0.33844086021505376,0.3495564516129033,Bronze,260.07
P0010,68,0.39705882352941174,0.7794117647058824,0.3235294117647059,0.27941176470588236,0.38235294117647056,0.3088235294117647,0.6911764705882353,0.39705882352941174,279.4117647058824,176.47058823529412,0.014705882352941176,827.5870588235293,2.588235294117647,0.5147058823529411,0.6323529411764706,0.4117647058823529,0.07352941176470588,0.5392156862745098,0.5,0.33088235294117646,0.1911764705882353,0.4117647058823529,0.3615196078431372,0.3663602941176471,Bronze,298.95
P0011,64,0.515625,0.671875,0.296875,0.40625,0.25,0.34375,0.71875,0.515625,343.75,187.5,0.03125,820.82078125,2.609375,0.421875,0.765625,0.484375,0.078125,0.46354166666666663,0.4947916666666667,0.328125,0.2109375,0.484375,0.3651041666666667,0.375859375,Bronze,288.66
P0012,55,0.5636363636363636,0.7454545454545455,0.18181818181818182,0.2727272727272727,0.43636363636363634,0.2727272727272727,0.7272727272727273,0.5636363636363636,236.36363636363635,163.63636363636363,0.0,826.4696363636364,2.3454545454545452,0.5272727272727272,0.7090909090909091,0.38181818181818183,0.09090909090909091,0.5515151515151515,0.496969696969697,0.3545454545454545,0.18181818181818182,0.38181818181818183,0.3706060606060606,0.3678636363636364,Bronze,242.79
P0013,66,0.4090909090909091,0.7121212121212122,0.3484848484848485,0.2727272727272727,0.3333333333333333,0.3787878787878788,0.7878787878787878,0.4090909090909091,287.8787878787879,121.21212121212122,0.015151515151515152,809.7301515151515,2.5606060606060606,0.5,0.6818181818181818,0.6212121212121212,0.06060606060606061,0.5707070707070707,0.4898989898989899,0.303030303030303,0.2196969696969697,0.6212121212121212,0.33939393939393936,0.3796969696969697,Bronze,300.72
P0014,47,0.5319148936170213,0.6595744680851063,0.3191489361702128,0.425531914893617,0.48936170212765956,0.3191489361702128,0.6382978723404256,0.5319148936170213,468.0851063829787,148.93617021276594,0.0,827.173829787234,2.9361702127659575,0.46808510638297873,0.6170212765957447,0.6170212765957447,0.0425531914893617,0.5319148936170213,0.5035460992907801,0.4574468085106383,0.18085106382978725,0.6170212765957447,0.427304964539007,0.4273936170212766,Bronze,241.05
P0015,46,0.43478260869565216,0.6739130434782609,0.2608695652173913,0.3695652173913043,0.2608695652173913,0.32608695652173914,0.6304347826086957,0.43478260869565216,260.8695652173913,108.69565217391305,0.021739130434782608,812.6841304347827,2.260869565217391,0.5,0.782608695652174,0.34782608695652173,0.06521739130434782,0.45652173913043476,0.4565217391304348,0.3152173913043478,0.1956521739130435,0.34782608695652173,0.3402173913043478,0.34070652173913046,Bronze,188.07
P0016,45,0.5333333333333333,0.7111111111111111,0.28888888888888886,0.28888888888888886,0.37777777777777777,0.26666666666666666,0.6444444444444445,0.5333333333333333,288.88888888888886,133.33333333333334,0.022222222222222223,824.3559999999999,1.9333333333333333,0.4444444444444444,0.7555555555555555,0.4888888888888889,0.044444444444444446,0.41481481481481475,0.5111111111111111,0.3333333333333333,0.15555555555555556,0.4888888888888889,0.3807407407407407,0.3737777777777777,Bronze,201.84
P0017,65,0.6461538461538462,0.6923076923076923,0.24615384615384617,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.676923076923077,0.6461538461538462,230.76923076923077,184.6153846153846,0.046153846153846156,815.3190769230769,2.5384615384615383,0.5538461538461539,0.7076923076923077,0.5076923076923077,0.15384615384615385,0.5435897435897435,0.5282051282051282,0.2923076923076923,0.2230769230769231,0.5076923076923077,0.3558974358974359,0.3803076923076923,Bronze,296.64
P0018,80,0.4875,0.75,0.2625,0.4625,0.375,0.3625,0.75,0.4875,312.5,75.0,0.025,813.757125,2.325,0.3875,0.7375,0.525,0.025,0.5291666666666666,0.5,0.41875,0.19375,0.525,0.4064583333333333,0.40690625,Bronze,390.63
P0019,75,0.41333333333333333,0.6933333333333334,0.21333333333333335,0.49333333333333335,0.32,0.32,0.6266666666666667,0.41333333333333333,386.6666666666667,133.33333333333334,0.02666666666666667,800.192,2.3866666666666667,0.5333333333333333,0.7333333333333333,0.56,0.08,0.48,0.44,0.4066666666666667,0.2,0.56,0.37533333333333335,0.38596666666666674,Bronze,347.37
P0020,56,0.4642857142857143,0.6607142857142857,0.42857142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.7321428571428571,0.4642857142857143,178.57142857142858,107.14285714285714,0.017857142857142856,813.7946428571429,2.482142857142857,0.4642857142857143,0.6607142857142857,0.5,0.05357142857142857,0.5476190476190476,0.5178571428571429,0.30357142857142855,0.17857142857142855,0.5,0.3559523809523809,0.37035714285714283,Bronze,248.88
P0021,48,0.4583333333333333,0.6666666666666666,0.3125,0.2708333333333333,0.2916666666666667,0.2708333333333333,0.6041666666666666,0.4583333333333333,312.5,187.5,0.0,806.5858333333334,2.5833333333333335,0.5833333333333334,0.6666666666666666,0.5416666666666666,0.020833333333333332,0.5277777777777778,0.4791666666666667,0.28125,0.14583333333333331,0.5416666666666666,0.32743055555555556,0.34651041666666665,Bronze,199.59
P0022,59,0.3220338983050847,0.6271186440677966,0.22033898305084745,0.4067796610169492,0.3728813559322034,0.3559322033898305,0.6101694915254238,0.3220338983050847,220.33898305084745,135.59322033898306,0.01694915254237288,816.9520338983051,2.288135593220339,0.5084745762711864,0.7288135593220338,0.4745762711864407,0.03389830508474576,0.5367231638418078,0.3898305084745763,0.3898305084745763,0.19491525423728814,0.4745762711864407,0.3361581920903955,0.35127118644067795,Bronze,248.7
P0023,49,0.5102040816326531,0.6938775510204082,0.22448979591836735,0.3877551020408163,0.24489795918367346,0.2653061224489796,0.6122448979591837,0.5102040816326531,244.89795918367346,244.89795918367346,0.0,830.0822448979592,2.2448979591836733,0.5714285714285714,0.6122448979591837,0.5102040816326531,0.12244897959183673,0.5374149659863945,0.4761904761904762,0.3163265306122449,0.19387755102040816,0.5102040816326531,0.3425170068027211,0.36311224489795924,Bronze,213.51
P0024,65,0.4461538461538462,0.6923076923076923,0.2,0.24615384615384617,0.3076923076923077,0.35384615384615387,0.7692307692307693,0.4461538461538462,276.92307692307696,123.07692307692308,0.0,818.0630769230769,2.5076923076923077,0.26153846153846155,0.6461538461538462,0.6153846153846154,0.015384615384615385,0.4717948717948718,0.4461538461538461,0.27692307692307694,0.18461538461538463,0.6153846153846154,0.31435897435897436,0.3486923076923077,Bronze,271.98
